date,code_id,option_type,K,T,sigma_bsm
2016-11-11,10000723,C,2.35,2016-11-23,0.2435853621450759
2016-11-14,10000692,C,2.397,2016-12-28,0.242951852815609
2016-11-15,10000692,C,2.397,2016-12-28,-0.13622443989621622
2016-11-16,10000692,C,2.397,2016-12-28,-0.09212411152572977
2016-11-17,10000692,C,2.397,2016-12-28,0.2421762668816908
2016-11-18,10000692,C,2.397,2016-12-28,-0.07307528110088718
2016-11-21,10000692,C,2.397,2016-12-28,0.24486634948254696
2016-11-22,10000692,C,2.397,2016-12-28,0.24574538051995404
2016-11-23,10000692,C,2.397,2016-12-28,0.2443262652731428
2016-11-24,10000692,C,2.397,2016-12-28,0.24283731079431387
2016-11-25,10000692,C,2.397,2016-12-28,0.005950400664088293
2016-11-28,10000692,C,2.397,2016-12-28,0.008725688023931002
2016-11-29,10000692,C,2.397,2016-12-28,0.024674273262671235
2016-11-30,10000692,C,2.397,2016-12-28,0.2434005214648202
2016-12-01,10000692,C,2.397,2016-12-28,-0.1882226515082958
2016-12-02,10000662,P,2.25,2016-12-28,0.0960288876034413
2016-12-05,10000662,P,2.25,2016-12-28,0.07702194180634502
2016-12-06,10000662,P,2.25,2016-12-28,0.07363142071849182
2016-12-07,10000692,C,2.397,2016-12-28,0.24125152411391368
2016-12-08,10000770,C,2.45,2016-12-28,0.04379152668083202
2016-12-09,10000770,C,2.45,2016-12-28,0.02426455234770642
2016-12-12,10000770,C,2.45,2016-12-28,0.04912351774550846
2016-12-13,10000770,C,2.45,2016-12-28,0.06208612198910257
2016-12-14,10000770,C,2.45,2016-12-28,0.07235071078020824
2016-12-15,10000769,C,2.4,2016-12-28,0.08311650933711659
2016-12-16,10000769,C,2.4,2016-12-28,0.0872188138643145
2016-12-19,10000769,C,2.4,2016-12-28,0.06236001448813961
2016-12-20,10000769,C,2.4,2016-12-28,0.12902107715784827
2016-12-21,10000769,C,2.4,2016-12-28,0.06464976851327835
2016-12-22,10000769,C,2.4,2016-12-28,0.11798544450235744
2016-12-23,10000777,C,2.3,2017-01-25,0.24287479394658476
2016-12-26,10000777,C,2.3,2017-01-25,0.24515369746662544
